Sentence 1,Sentence 2,Relationship
The ribs protect the lungs and heart from external injury,Lungs and heart are protected by the ribcage,causality
The skeletal system provides structural support to the body,Structural integrity of the body depends on the skeleton,causality
The diaphragm facilitates breathing by changing thoracic volume,Breathing occurs due to diaphragm movement,causality
The spine protects the spinal cord from damage,The spinal cord is safeguarded by the vertebral column,causality
The heart pumps blood to maintain circulation,Circulation is driven by the pumping action of the heart,causality
The skin prevents pathogens from entering the body,Skin acts as a barrier against infections,causality
The liver metabolizes drugs to detoxify the body,Drugs are detoxified in the liver,causality
The small intestine absorbs nutrients to nourish the body,Nutrients from food are absorbed by the small intestine,causality
The skull encases the brain for protection,The brain is protected by the skull,causality
The kidneys filter blood to produce urine,Urine is formed as kidneys filter blood,causality
"If the ACL is torn, knee stability is compromised",A torn ACL results in an unstable knee joint,condition
A fractured rib makes breathing painful,Breathing becomes difficult when ribs are fractured,condition
"When blood flow to the brain is interrupted, a stroke occurs",A stroke happens when blood supply to the brain is cut off,condition
"If the retina detaches, vision is impaired",Vision problems arise from retinal detachment,condition
A herniated disc can press on spinal nerves and cause pain,Spinal nerve compression causes pain in a herniated disc,condition
"Lack of calcium weakens bones, increasing fracture risk",Bone fractures become more likely with calcium deficiency,condition
Inflammation of the appendix can cause severe abdominal pain,Appendicitis causes acute abdominal pain,condition
"Dehydration reduces joint lubrication, leading to stiffness",Stiffness in joints occurs due to dehydration,condition
"If the nasal passages are blocked, breathing becomes difficult",Blocked nasal passages make breathing harder,condition
An injured rotator cuff limits shoulder movement,Rotator cuff injuries reduce shoulder mobility,condition
Food passes through the esophagus before reaching the stomach,The stomach receives food after it passes through the esophagus,sequence
Blood enters the right atrium before being pumped to the lungs,Blood flows from the right atrium to the lungs for oxygenation,sequence
"Neurons transmit electrical signals to muscles, causing contraction",Electrical signals from neurons activate muscle fibers,sequence
Urine flows from the kidneys to the bladder via the ureters,Urine travels through ureters to reach the bladder,sequence
Oxygenated blood exits the heart through the aorta,The aorta carries oxygen-rich blood to the body,sequence
Digestive enzymes are secreted into the stomach before food digestion begins,Food is digested in the stomach before entering the intestines,sequence
Tears are produced by the lacrimal glands before draining through the ducts,Tears drain from the lacrimal glands into ducts,sequence
The pharynx directs food to the esophagus during swallowing,Swallowed food moves from the pharynx to the esophagus,sequence
Air enters the nasal cavity before passing into the lungs,Air flows from the nasal cavity into the trachea,sequence
Sweat glands produce sweat that is released through skin pores,Sweat is released through skin pores after being produced,sequence
Bones are harder and denser than cartilage,Cartilage is softer and more flexible than bones,comparison
Arteries have thicker walls than veins,Veins have thinner walls compared to arteries,comparison
The femur is longer and stronger than the humerus,The humerus is shorter and less robust than the femur,comparison
"Smooth muscle contracts involuntarily, unlike skeletal muscle","Skeletal muscles contract voluntarily, unlike smooth muscles",comparison
The heart is more muscular than the lungs,Lungs are less muscular than the heart,comparison
"The skin is the largest organ, compared to the liver as the heaviest organ",The liver is heavier but smaller than the skin in surface area,comparison
Ligaments are less elastic than tendons,Tendons are more elastic than ligaments,comparison
The brain has more neurons than the spinal cord,The spinal cord contains fewer neurons than the brain,comparison
Red blood cells are smaller than white blood cells,White blood cells are larger compared to red blood cells,comparison
The pelvis is more robust in females than in males,Male pelvises are narrower than female pelvises,comparison
The esophagus moves food downward before it enters the stomach,Food enters the stomach after passing through the esophagus,sequence
The trachea carries air to the lungs after passing the larynx,Air enters the lungs after traveling through the trachea,sequence
Bile is released into the small intestine after being stored in the gallbladder,Gallbladder releases bile into the intestines for fat digestion,sequence
The optic nerve transmits signals to the brain after detecting light,Light signals from the retina reach the brain via the optic nerve,sequence
The vertebral column provides structure before facilitating movement,Movement follows support provided by the vertebral column,sequence
"If the meniscus is damaged, knee cushioning is reduced",Reduced knee cushioning occurs with meniscus damage,condition
"Arthritis causes joint inflammation, leading to reduced mobility",Joint pain and stiffness are common with arthritis,condition
"When the inner ear is damaged, balance can be affected",Inner ear damage affects balance and spatial orientation,comparison
The stomach holds food temporarily before digestion continues in the intestines,Digestion continues in the intestines after food leaves the stomach,comparison
"Veins return deoxygenated blood to the heart, unlike arteries that carry oxygenated blood","Arteries transport oxygenated blood, unlike veins that carry deoxygenated blood",comparison
Mitochondria produce ATP through cellular respiration,ATP is generated by mitochondria via cellular respiration,causality
Ribosomes are responsible for protein synthesis,Protein synthesis occurs at ribosomes,causality
The cell membrane regulates the movement of substances,Substance movement is controlled by the cell membrane,causality
DNA is transcribed into RNA in the nucleus,RNA synthesis takes place in the nucleus from DNA templates,sequence
The Golgi apparatus modifies and packages proteins,Proteins are processed and packaged in the Golgi apparatus,causality
Lysosomes break down cellular waste,Cellular waste is degraded by lysosomes,causality
Chloroplasts perform photosynthesis in plant cells,Photosynthesis in chloroplasts converts light energy into glucose,causality
Cell division occurs through mitosis or meiosis,Mitosis and meiosis are methods of cell division,sequence
The cytoskeleton provides structural support to the cell,Structural integrity of cells is maintained by the cytoskeleton,causality
Cell signaling involves receptor-ligand interactions,Ligand binding to receptors initiates cell signaling,causality
Endoplasmic reticulum transports proteins within the cell,Proteins are transported within the cell by the endoplasmic reticulum,causality
Osmosis regulates water movement across the cell membrane,Water movement in cells is regulated by osmosis,causality
Mitochondrial DNA is inherited maternally,Mitochondrial DNA inheritance is maternal,causality
Stem cells differentiate into specialized cell types,Specialized cells develop from stem cells,causality
The nucleolus is the site of ribosome assembly,Ribosome synthesis occurs in the nucleolus,causality
Enzymes catalyze biochemical reactions in cells,Biochemical reactions are accelerated by enzymes,causality
Plasma membranes contain phospholipid bilayers,Phospholipid bilayers form the plasma membrane,condition
Protein folding occurs in the endoplasmic reticulum,The endoplasmic reticulum facilitates protein folding,sequence
