Text,Question,Option A,Option B,Option C,Option D,Answer
"The human skeleton provides structure to the body, protecting internal organs and enabling movement.","What is the primary function of the human skeleton?","Providing structure, protecting organs, and enabling movement","Producing blood cells","Storing minerals","Protecting the skin","Providing structure, protecting organs, and enabling movement"
"The skeleton is made up of 206 bones, which are categorized into two main parts: the axial skeleton and the appendicular skeleton.","How many bones make up the human skeleton?","206 bones","150 bones","250 bones","300 bones","206 bones"
"The axial skeleton includes the skull, spine, ribs, and sternum, and is responsible for protecting the brain, spinal cord, and vital organs.","What is the function of the axial skeleton?","Protecting the brain, spinal cord, and vital organs","Supporting the limbs","Facilitating movement","Producing blood cells","Protecting the brain, spinal cord, and vital organs"
"The appendicular skeleton consists of the limbs and the girdles that attach them to the axial skeleton.","What does the appendicular skeleton consist of?","Limbs and girdles","Skull and spine","Ribs and sternum","Vertebrae and pelvis","Limbs and girdles"
"The long bones, such as the femur and tibia, are important for supporting the body's weight and facilitating movement.","What is the function of long bones like the femur and tibia?","Supporting the body's weight and facilitating movement","Protecting vital organs","Storing minerals","Producing blood cells","Supporting the body's weight and facilitating movement"
"Bone marrow, located inside some bones, is responsible for producing blood cells, including red blood cells, white blood cells, and platelets.","What is the function of bone marrow?","Producing blood cells","Storing minerals","Protecting bones from injury","Providing structure to the body","Producing blood cells"
"The human skeleton also acts as a storage site for essential minerals, such as calcium and phosphorus.","What role does the human skeleton play regarding minerals?","Storage of essential minerals","Production of red blood cells","Support for movement","Facilitation of digestion","Storage of essential minerals"
"Joints, where bones meet, are classified as synovial, fibrous, or cartilaginous, depending on their structure and mobility.","How are joints classified?","Synovial, fibrous, or cartilaginous","Flexible, movable, or rigid","Fixed, semi-movable, or movable","Soft, hard, or elastic","Synovial, fibrous, or cartilaginous"
"Synovial joints, such as the knee and elbow, allow for a wide range of motion due to the presence of synovial fluid.","What allows synovial joints to have a wide range of motion?","Synovial fluid","Bone marrow","Ligaments","Cartilage","Synovial fluid"
"The skull is composed of 22 bones and protects the brain while also providing support for facial structures.","How many bones make up the human skull?","22 bones","18 bones","24 bones","28 bones","22 bones"
"The spine consists of 33 vertebrae, divided into cervical, thoracic, lumbar, sacral, and coccygeal regions.","How many vertebrae make up the spine?","33 vertebrae","30 vertebrae","28 vertebrae","35 vertebrae","33 vertebrae"
"The rib cage is made up of 12 pairs of ribs and serves to protect the heart and lungs.","How many pairs of ribs make up the rib cage?","12 pairs","10 pairs","14 pairs","16 pairs","12 pairs"
"The clavicle (collarbone) and scapula (shoulder blade) are part of the pectoral girdle, which connects the upper limbs to the torso.","What bones are part of the pectoral girdle?","Clavicle and scapula","Humerus and radius","Pelvis and femur","Tibia and fibula","Clavicle and scapula"
"The pelvic girdle is composed of the hip bones, which support the weight of the body and provide attachment points for the lower limbs.","What does the pelvic girdle consist of?","Hip bones","Ribs","Spine","Scapula","Hip bones"
"During growth, bones increase in size through a process known as ossification, where cartilage is replaced by bone tissue.","What process replaces cartilage with bone tissue during growth?","Ossification","Fusion","Erosion","Resorption","Ossification"
"Bone density tends to decrease with age, which can lead to conditions such as osteoporosis, making bones more fragile and prone to fractures.","What happens to bone density with age?","It decreases","It increases","It remains the same","It fluctuates","It decreases"
"Fractures occur when the bone is subjected to excessive force, and treatment often involves immobilization or surgical repair.","What causes fractures?","Excessive force","Weak bone structure","Lack of calcium","Osteoporosis","Excessive force"
"The process of bone healing involves inflammation, repair, and remodeling, which can take several weeks or months depending on the severity of the fracture.","What is involved in the process of bone healing?","Inflammation, repair, and remodeling","Fracture and immobilization","Recovery and physical therapy","Surgery and rest","Inflammation, repair, and remodeling"
"Cartilage is a flexible, rubbery tissue that cushions joints and allows bones to move smoothly against each other.","What is the function of cartilage?","Cushions joints and allows movement","Produces red blood cells","Strengthens bones","Stores minerals","Cushions joints and allows movement"
"Ligaments are connective tissues that attach bones to other bones, helping to stabilize joints.","What do ligaments do?","Attach bones to other bones","Connect muscles to bones","Provide blood supply to bones","Protect joints from injury","Attach bones to other bones"
