Text,Question,Option A,Option B,Option C,Option D,Answer
"The human mouth contains four types of teeth: incisors, canines, premolars, and molars, each serving a distinct function in food processing.","How many types of teeth are there in the human mouth?","Four types","Three types","Five types","Two types","Four types"
"Incisors are sharp, flat teeth located at the front of the mouth, responsible for cutting food.","What is the primary function of incisors?","Cutting food","Tearing food","Grinding food","Crushing food","Cutting food"
"Canines, or cuspids, are pointed teeth located next to the incisors, used for tearing food.","What is the function of canines?","Tearing food","Cutting food","Grinding food","Crushing food","Tearing food"
"Premolars are flat-topped teeth located behind the canines, used for grinding and crushing food.","What is the function of premolars?","Grinding and crushing food","Cutting food","Tearing food","Sensing food","Grinding and crushing food"
"Molars are larger teeth at the back of the mouth, responsible for grinding food into smaller particles to aid in digestion.","What is the function of molars?","Grinding food into smaller particles","Cutting food","Tearing food","Sensing food","Grinding food into smaller particles"
"Human teeth are made of enamel, the hardest substance in the body, which protects them from damage during chewing.","What protects human teeth from damage during chewing?","Enamel","Pulp","Cementum","Dentin","Enamel"
"The pulp of a tooth contains blood vessels and nerves, providing nutrients and sensation to the tooth.","What does the pulp of a tooth contain?","Blood vessels and nerves","Enamel and dentin","Cementum and pulp","Teeth and roots","Blood vessels and nerves"
"Teeth are anchored in the jaw by the roots, which are covered by cementum, a specialized tissue.","What covers the roots of teeth?","Cementum","Enamel","Dentin","Pulp","Cementum"
"Primary teeth, also known as baby teeth, begin to emerge at around six months of age and are eventually replaced by permanent teeth.","What are primary teeth also called?","Baby teeth","Adult teeth","Molars","Wisdom teeth","Baby teeth"
"Permanent teeth typically begin to emerge around the age of six and are meant to last for the rest of a person’s life.","At what age do permanent teeth typically begin to emerge?","Around the age of six","Around the age of two","Around the age of ten","Around the age of twelve","Around the age of six"
"The eruption pattern of teeth follows a general sequence, with incisors emerging first, followed by canines, premolars, and finally molars.","Which teeth emerge first in the eruption pattern?","Incisors","Molars","Premolars","Canines","Incisors"
"The dental formula for adult humans consists of 32 teeth, including the third molars, or wisdom teeth.","How many teeth do adult humans have?","32 teeth","30 teeth","28 teeth","34 teeth","32 teeth"
"Tooth decay occurs when bacteria in the mouth produce acids that break down tooth enamel, leading to cavities.","What causes tooth decay?","Bacteria producing acids","Eating too much food","Brushing too hard","Not flossing enough","Bacteria producing acids"
"Brushing and flossing regularly, along with professional dental checkups, are essential for maintaining healthy teeth and gums.","What is essential for maintaining healthy teeth and gums?","Brushing, flossing, and dental checkups","Eating sugary foods","Drinking soda regularly","Avoiding water intake","Brushing, flossing, and dental checkups"
"Root canals are sometimes necessary when the pulp of a tooth becomes infected or inflamed.","When are root canals necessary?","When the pulp is infected or inflamed","When the enamel is worn down","When the tooth is chipped","When the tooth is loose","When the pulp is infected or inflamed"
"Dentists use fillings, crowns, and other restorative procedures to repair and maintain damaged teeth.","What do dentists use to repair and maintain damaged teeth?","Fillings, crowns, and restorative procedures","Braces and retainers","Teeth whitening","Toothpaste","Fillings, crowns, and restorative procedures"
