Text,Question,Option A,Option B,Option C,Option D,Answer
"Urology is a medical specialty that focuses on the diagnosis and treatment of diseases affecting the urinary tract and the male reproductive system.","What does urology focus on?","Diseases affecting the urinary tract and male reproductive system","Heart and lung diseases","Skin and bone conditions","Eye and vision problems","Diseases affecting the urinary tract and male reproductive system"
"The urinary tract includes the kidneys, ureters, bladder, and urethra, while the male reproductive system involves the testes, prostate, and penis.","Which organs are part of the urinary tract?","Kidneys, ureters, bladder, and urethra","Heart, lungs, and liver","Brain, eyes, and ears","Stomach, intestines, and pancreas","Kidneys, ureters, bladder, and urethra"
"Common urological conditions include kidney stones, urinary tract infections, bladder cancer, and benign prostatic hyperplasia (BPH).","Which of the following is a common urological condition?","Kidney stones","Asthma","Pneumonia","Cancer of the liver","Kidney stones"
"Kidney stones are solid deposits of minerals and salts that form in the kidneys, often causing severe pain and requiring treatment like lithotripsy or surgery.","How are kidney stones typically treated?","Lithotripsy or surgery","Antibiotics","Physical therapy","Chemotherapy","Lithotripsy or surgery"
"Benign prostatic hyperplasia (BPH) is a common condition in older men, where the prostate enlarges, leading to urinary problems.","What is benign prostatic hyperplasia (BPH)?","Enlargement of the prostate causing urinary problems","Infection of the prostate","Cancer of the prostate","Shrinkage of the prostate gland","Enlargement of the prostate causing urinary problems"
"Prostate cancer is another significant concern in urology, and early detection through screening methods like PSA tests can improve treatment outcomes.","How can prostate cancer treatment outcomes be improved?","Early detection through PSA tests","Using antibiotics","Surgical removal of the kidney","Chemotherapy","Early detection through PSA tests"
"Urologists often treat male infertility, performing procedures like vasectomy reversals and sperm retrieval to help men with reproductive issues.","How do urologists treat male infertility?","Vasectomy reversals and sperm retrieval","Hormonal therapy","Physical therapy","Nutritional counseling","Vasectomy reversals and sperm retrieval"
"Urology involves a variety of diagnostic tools, such as urinalysis, ultrasound, cystoscopy, and MRI, to identify and treat conditions of the urinary and reproductive systems.","Which diagnostic tools are used in urology?","Urinalysis, ultrasound, cystoscopy, and MRI","X-rays and CT scans only","Blood tests only","Blood pressure monitoring","Urinalysis, ultrasound, cystoscopy, and MRI"
"One of the most common treatments for kidney stones is extracorporeal shock wave lithotripsy, which uses sound waves to break the stones into smaller pieces.","What is extracorporeal shock wave lithotripsy used for?","Treating kidney stones","Treating prostate cancer","Treating bladder infections","Treating male infertility","Treating kidney stones"
"Urinary tract infections (UTIs) are frequently treated with antibiotics, but prevention strategies focus on proper hygiene and hydration.","What is an important prevention strategy for UTIs?","Proper hygiene and hydration","Antibiotics","Surgical removal of the bladder","Increased fluid retention","Proper hygiene and hydration"
