Sentence,Label
"Parathyroid hormone (PTH) is a hormone secreted by the parathyroid glands that regulates calcium levels in the blood.","Definition"
"If calcium levels in the blood drop, PTH is released to restore balance.","Conditional"
"First, PTH is released from the parathyroid glands, then it acts on bones, kidneys, and intestines, and finally calcium levels are increased.","Sequential"
"PTH increases blood calcium levels more effectively than other hormones like calcitonin.","Comparison"
"PTH stimulates the release of calcium from bones because it activates osteoclasts that break down bone tissue.","Explanation"
"Unlike calcitonin, which lowers blood calcium levels, PTH raises them.","Contrast"
"PTH regulates calcium levels and also influences phosphate metabolism.","Addition"
"Maintaining proper calcium levels is crucial for nerve function, muscle contraction, and blood clotting.","Emphasis"
"The kidneys respond to PTH by reabsorbing more calcium and excreting phosphate.","Elaboration"
"For example, PTH increases the production of active vitamin D in the kidneys, which enhances calcium absorption from the intestines.","Illustration"
"Even though PTH is essential for calcium regulation, excessive levels can lead to bone loss and hypercalcemia.","Concession"
"Most of the body's calcium is stored in bones, where it provides structural support.","Generalization"
"Given the elevated PTH levels, one might infer that the body is trying to correct low blood calcium levels.","Inference"
"In summary, PTH plays a vital role in maintaining calcium homeostasis in the body.","Summary"
"To address low calcium levels, PTH increases calcium release from bones and enhances calcium absorption in the intestines.","Problem Solution"
"Rather than just acting on bones, PTH also affects the kidneys and intestines to regulate calcium levels.","Contrastive Emphasis"
"The primary purpose of PTH is to maintain stable calcium levels in the blood.","Purpose"
"In other words, PTH ensures that calcium levels remain within a narrow range for proper physiological function.","Clarification"
"PTH acts on bones, kidneys, and intestines to regulate calcium levels.","Enumeration"
"An increase in PTH causes calcium to be released from bones, raising blood calcium levels.","Cause and Effect"
"As PTH levels rise, calcium reabsorption in the kidneys increases, reducing calcium loss in urine.","Temporal Sequence"
"PTH is regulated by a feedback loop involving blood calcium levels and the parathyroid glands.","Explanation"
"Compared to other hormones, PTH has a more direct and immediate effect on calcium levels.","Comparison"
"If PTH secretion is impaired, calcium levels in the blood can become dangerously low.","Conditional"
"Consuming a diet rich in calcium and vitamin D can help support healthy PTH function and calcium levels.","Addition"
"PTH stimulates the conversion of inactive vitamin D to its active form in the kidneys, enhancing calcium absorption.","Elaboration"
"Low calcium levels trigger the release of PTH, which acts to restore calcium balance.","Cause and Effect"
