Sentence,Label
"The ears are organs responsible for detecting sound and maintaining balance.","Definition"
"If the ear canal is blocked, hearing becomes impaired.","Conditional"
"First, sound waves enter the ear canal, then they vibrate the eardrum, and finally the vibrations are transmitted to the inner ear.","Sequential"
"The human ear can detect a wider range of frequencies than many animals.","Comparison"
"The bones in the middle ear amplify sound because they act as levers.","Explanation"
"Unlike the outer ear, the inner ear is responsible for balance.","Contrast"
"The ears pick up sounds and also help us maintain equilibrium.","Addition"
"Proper hearing is essential for effective communication.","Emphasis"
"The cochlea converts mechanical vibrations into nerve impulses sent to the brain.","Elaboration"
"For example, loud noises can damage the delicate hair cells within the cochlea.","Illustration"
"Even though the ears are well-designed, prolonged exposure to loud sounds can lead to hearing loss.","Concession"
"Most people experience some degree of hearing loss as they age.","Generalization"
"Given the ringing in his ears, he may have been exposed to loud noise recently.","Inference"
"In summary, the ears are complex organs that enable us to hear and maintain balance.","Summary"
"To improve hearing in noisy environments, hearing aids can be used.","Problem Solution"
"Rather than just detecting sound, the ears also play a crucial role in our sense of balance.","Contrastive Emphasis"
"The tiny hairs in the inner ear move in response to vibration to help us perceive sound.","Purpose"
"In other words, the ear translates sound waves into signals the brain can understand.","Clarification"
"The ear consists of the outer ear, middle ear, and inner ear.","Enumeration"
"Damage to the auditory nerve can result in permanent hearing loss.","Cause and Effect"
"As sound enters the ear, it passes through several stages before being interpreted by the brain.","Temporal Sequence"
"The eardrum vibrates when sound waves strike it because it's a thin membrane.","Causal"
"If the middle ear is filled with fluid, sound transmission is hindered.","Conditional"
"Children have shorter eustachian tubes compared to adults, making them more prone to ear infections.","Comparison"
"The semicircular canals detect rotational movements because they contain fluid that shifts with motion.","Explanation"
"While the cochlea is involved in hearing, the vestibular system handles balance.","Contrast"
"The ears and eyes work together to help us maintain orientation.","Addition"
"Protecting our ears from excessive noise is vital to prevent hearing loss.","Emphasis"
"For instance, wearing earplugs at loud concerts can safeguard our hearing.","Illustration"
"Despite advancements in technology, restoring lost hearing remains a challenge.","Concession"
"Sound waves enter the ear through the outer ear, which includes the pinna and the ear canal.", "Sequential"
"The outer ear funnels the sound waves into the ear canal, directing them toward the eardrum.", "Purpose"
"When the sound waves reach the eardrum, they cause it to vibrate.", "Causal"
"These vibrations are then transmitted to the middle ear, which contains three tiny bones called the ossicles.", "Sequential"
"The ossicles—malleus, incus, and stapes—amplify the vibrations and transfer them to the inner ear.", "Explanation"
"The inner ear contains the cochlea, a spiral-shaped structure filled with fluid and hair cells.", "Definition"
"The movement of the fluid in the cochlea stimulates the hair cells, which convert the vibrations into electrical signals.", "Sequential"
"These electrical signals are sent to the brain via the auditory nerve.", "Sequential"
"The brain interprets these signals as sounds, allowing us to hear.", "Purpose"
"If the hair cells in the cochlea are damaged, hearing loss can occur.", "Conditional"
"Hearing loss can also result from damage to the auditory nerve.", "Addition"
"Compared to other senses, hearing plays a crucial role in communication and environmental awareness.", "Comparison"
"Humans have a limited range of hearing, typically between 20 Hz and 20,000 Hz.", "Generalization"
"Many animals have a wider range of hearing than humans, allowing them to detect sounds we cannot.", "Contrast"
"Despite the complexity of the hearing process, it happens almost instantaneously.", "Emphasis"
"The ear not only helps us hear but also plays a vital role in maintaining balance.", "Addition"
"The semicircular canals in the inner ear are responsible for balance, working in conjunction with the hearing organs.", "Clarification"
"Without the semicircular canals, we would have difficulty maintaining our equilibrium.", "Cause and Effect"
"Protecting your ears from loud noises is essential to prevent hearing damage.", "Advice"
"If you are exposed to loud noises, using ear protection can help safeguard your hearing.", "Problem Solution"
"Even though ears are small, their functions are incredibly important.", "Contrastive Emphasis"
"Sound waves travel through the air at different speeds depending on factors like temperature and humidity.", "Elaboration"
