Sentence,Label
"The immune system is a complex network of cells, tissues, and organs that work together to protect the body from harmful invaders.","Definition"
"When pathogens such as bacteria or viruses enter the body, the immune system detects and responds to them.","Conditional"
"The immune system has two main branches: the innate immune system and the adaptive immune system.","Enumeration"
"The innate immune system provides an immediate, non-specific response to pathogens.","Explanation"
"In contrast, the adaptive immune system offers a more targeted response, tailored to specific pathogens.","Contrast"
"Because the adaptive immune system has memory, it can recognize and respond more quickly to pathogens it has encountered before.","Causal"
"If the immune system fails to recognize and eliminate pathogens effectively, infections can occur.","Conditional"
"The immune system also plays a crucial role in preventing the development of cancer by identifying and destroying abnormal cells.","Purpose"
"When the immune system overreacts or mistakenly attacks the body's own tissues, it can lead to autoimmune diseases.","Cause and Effect"
"For example, in rheumatoid arthritis, the immune system mistakenly attacks the joints, causing inflammation and pain.","Illustration"
"One of the key components of the immune system is white blood cells, which include lymphocytes, phagocytes, and others.","Enumeration"
"Lymphocytes, such as B cells and T cells, are particularly important in the adaptive immune response.","Elaboration"
"B cells produce antibodies, which are proteins that specifically target and neutralize pathogens.","Explanation"
"T cells, on the other hand, can directly kill infected cells or regulate the immune response.","Sequential"
"Antibodies not only neutralize pathogens but also mark them for destruction by other immune cells.","Addition"
"Although the immune system is highly effective, it can sometimes be overwhelmed by particularly virulent pathogens.","Concession"
"In such cases, medical intervention may be necessary to support the immune system and treat the infection.","Problem Solution"
"Vaccines work by introducing a harmless version of a pathogen to the immune system, which then learns to recognize and fight it.","Explanation"
"As a result, if the actual pathogen later infects the body, the immune system can quickly mount a defense.","Cause and Effect"
"This process of immunization helps prevent serious illnesses and saves countless lives.","Summary"
"The immune system also has memory, which means it can remember specific pathogens it has encountered.","Elaboration"
"For instance, having had chickenpox as a child usually provides lifelong immunity against the disease.","Illustration"
"Despite its many functions, the immune system is not infallible and can be compromised by various factors.","Contrast"
"Factors such as stress, poor nutrition, and lack of sleep can weaken the immune system.","Enumeration"
"When the immune system is weakened, the body is more susceptible to infections.","Cause and Effect"
"Therefore, maintaining a healthy lifestyle is essential for supporting immune function.","Purpose"
"In addition, aging can affect the immune system's efficiency, making older individuals more vulnerable to infections.","Addition"
"Overall, the immune system is a remarkable defense mechanism that safeguards the body against a wide range of threats.","Generalization"
"While the immune system is highly adaptable, it is also complex and can sometimes lead to unintended consequences.","Contrastive Emphasis"
"The immune system is a complex network of cells, tissues, and organs that protect the body against harmful pathogens.","Definition"
"Because it detects and neutralizes invaders, the immune system is crucial for maintaining health.","Causal"
"If a pathogen bypasses the initial defenses, the adaptive immune system is activated.","Conditional"
