Sentence,Label
"The metabolic rate is the rate at which the body converts food into energy.","Definition"
"If calorie intake exceeds energy expenditure, weight gain occurs.","Conditional"
"First, food is consumed and digested, then nutrients are absorbed, and finally they are metabolized for energy.","Sequential"
"Basal metabolic rate (BMR) is higher in men than in women.","Comparison"
"The metabolic rate increases during physical activity because the body requires more energy.","Explanation"
"Unlike resting metabolic rate, BMR is measured under strict conditions after a period of rest.","Contrast"
"Muscle mass contributes to a higher metabolic rate and also aids in calorie burning.","Addition"
"Maintaining a high metabolic rate is crucial for weight management.","Emphasis"
"The thyroid gland plays a significant role in regulating metabolic rate through hormone production.","Elaboration"
"For example, hyperthyroidism leads to an increased metabolic rate and weight loss.","Illustration"
"Even though metabolic rate decreases with age, regular exercise can help mitigate this effect.","Concession"
"Most people experience a decline in metabolic rate as they get older.","Generalization"
"Given the rapid weight loss, one might infer an elevated metabolic rate.","Inference"
"In summary, metabolic rate determines how quickly the body uses energy.","Summary"
"To boost metabolic rate, incorporating strength training into your routine can be effective.","Problem Solution"
"Rather than focusing solely on diet, combining exercise with proper nutrition can optimize metabolic rate.","Contrastive Emphasis"
"The purpose of measuring metabolic rate is to understand energy expenditure and manage weight.","Purpose"
"In other words, metabolic rate is a key factor in determining how many calories you burn daily.","Clarification"
"Factors affecting metabolic rate include age, gender, muscle mass, and hormone levels.","Enumeration"
"An increase in physical activity leads to a higher metabolic rate.","Cause and Effect"
"As the intensity of exercise increases, so does the metabolic rate.","Temporal Sequence"
"Metabolic rate is influenced by both genetic and environmental factors.","Explanation"
"Compared to sedentary individuals, athletes have a higher metabolic rate.","Comparison"
"If the thyroid gland is underactive, the metabolic rate decreases.","Conditional"
"Consuming protein-rich foods can temporarily boost metabolic rate due to the thermic effect of food.","Addition"
"Regular physical activity helps maintain a healthy metabolic rate by preserving muscle mass.","Elaboration"
"Skipping meals can lower metabolic rate and make weight management more difficult.","Cause and Effect"
"Although metabolic rate varies among individuals, it can be influenced by lifestyle choices.","Concession" 
"Metabolic rate refers to the speed at which your body burns calories to maintain essential functions.", "Definition"
"As you age, your metabolic rate tends to decrease.", "Causal"
"If you increase your muscle mass, you can raise your metabolic rate.", "Conditional"
"Metabolism involves a series of chemical reactions that convert food into energy.", "Sequential"
