Sentence,Label
"The heart pumps blood throughout the body, which means it supplies oxygen and nutrients to tissues.","Clarification"
"When I say metabolism, I am referring to all the chemical reactions that occur within a living organism.","Clarification"
"The term 'homeostasis' describes the body's ability to maintain a stable internal environment despite external changes.","Clarification"
"By antibodies, I mean proteins that help the immune system recognize and neutralize pathogens.","Clarification"
"The function of hemoglobin is to carry oxygen in the blood; specifically, it binds oxygen in the lungs and releases it in tissues.","Clarification"
"Photosynthesis, which occurs in plants, is the process of converting light energy into chemical energy stored in glucose.","Clarification"
"When we talk about osmosis, we mean the movement of water across a semi-permeable membrane from a lower to a higher solute concentration.","Clarification"
"The endocrine system consists of glands that release hormones, which are chemical messengers regulating various bodily functions.","Clarification"
"The term 'mutation' refers to a change in the DNA sequence, which can affect gene function.","Clarification"
"Enzymes act as catalysts, meaning they speed up chemical reactions without being consumed in the process.","Clarification"
"When I say neurotransmitters, I am referring to chemicals that transmit signals across synapses in the nervous system.","Clarification"
"The lymphatic system helps remove waste and toxins from the body, which is why it plays a role in immune defense.","Clarification"
"The phrase 'blood-brain barrier' refers to the selective permeability of capillaries in the brain that protect it from harmful substances.","Clarification"
"When scientists refer to the genome, they mean the complete set of DNA, including all genes, in an organism.","Clarification"
"Diabetes is a condition in which the body cannot properly regulate blood sugar levels, either due to insufficient insulin production or resistance to insulin.","Clarification"
"By cardiac output, we mean the volume of blood the heart pumps per minute.","Clarification"
"The process of respiration refers to the exchange of gases, primarily oxygen and carbon dioxide, between the body and the environment.","Clarification"
"The function of platelets is to help in blood clotting, which prevents excessive bleeding.","Clarification"
"When discussing inflammation, we are referring to the body's response to injury or infection, characterized by redness, swelling, and pain.","Clarification"
"Vaccines work by stimulating the immune system to recognize and fight specific pathogens, without causing the disease itself.","Clarification"
"The term 'biome' refers to a large ecological area characterized by specific climates, plants, and animals.","Clarification"
"By plasma, I am referring to the liquid component of blood that carries cells, nutrients, and waste products.","Clarification"
"The skeletal system provides structural support for the body, which means it also protects vital organs.","Clarification"
"The peripheral nervous system connects the central nervous system to limbs and organs, essentially acting as a communication relay.","Clarification"
"When we discuss 'antigen presentation,' we mean the process by which immune cells display antigens to trigger a response.","Clarification"
"The concept of 'natural selection' describes how traits that enhance survival and reproduction become more common in a population over generations.","Clarification"
"By apoptosis, I mean the programmed cell death that occurs as a normal part of growth and development.","Clarification"
"The term 'allele' refers to a variant form of a gene, which can result in different traits.","Clarification"
"The phrase 'essential amino acids' refers to those amino acids that cannot be synthesized by the body and must be obtained from the diet.","Clarification"
"Photosynthesis occurs in the chloroplasts of plant cells, which are specialized organelles for capturing light energy.","Clarification"
"The function of white blood cells is to defend the body against infections and foreign invaders.","Clarification"
"When I say genetic engineering, I am referring to the deliberate modification of an organism's DNA to alter its characteristics.","Clarification"
"Proteins are made up of amino acids, which are the building blocks necessary for various cellular functions.","Clarification"
"The phrase 'lipid bilayer' describes the double-layered structure of cell membranes, composed of phospholipids.","Clarification"
"By depolarization, I mean the reduction in the electrical charge across a cell membrane, which is a key step in nerve signaling.","Clarification"
"The term 'ecosystem' refers to a community of interacting organisms and their physical environment.","Clarification"
"The role of insulin is to regulate blood glucose levels by promoting the uptake of glucose into cells.","Clarification"
"The term 'mitosis' refers to the process of cell division that results in two genetically identical daughter cells.","Clarification"
"By genetic drift, I mean random changes in allele frequencies within a population over time.","Clarification"
"The phrase 'antibiotic resistance' describes the ability of bacteria to survive and grow despite the presence of antibiotics.","Clarification"
"The circulatory system transports oxygen, nutrients, and waste products throughout the body via blood.","Clarification"
"When I say bioaccumulation, I am referring to the gradual buildup of substances, like pesticides, in an organism.","Clarification"
"An ecosystem's carrying capacity is the maximum population size that the environment can sustain indefinitely.","Clarification"
"The phrase 'oxidative phosphorylation' describes the process by which cells generate ATP using oxygen in the mitochondria.","Clarification"
"By trophic levels, I mean the hierarchical stages in a food chain, where organisms are grouped based on their source of energy.","Clarification"
"The term 'antioxidant' refers to a molecule that inhibits the oxidation of other molecules, protecting cells from damage.","Clarification"
"When we talk about the microbiome, we mean the collection of microorganisms living in and on the human body.","Clarification"
"Exocytosis is a process by which cells expel materials in vesicles, which fuse with the cell membrane.","Clarification"
"The role of the hypothalamus is to regulate vital functions like body temperature, hunger, and hormone release.","Clarification"
"The term 'macrophage' refers to a type of white blood cell that engulfs and digests pathogens and debris.","Clarification"
"Gene expression refers to the process by which the information in a gene is used to synthesize a functional product, usually a protein.","Clarification"
"The term 'osmosis' refers specifically to the movement of water molecules through a semi-permeable membrane.","Clarification"
"By 'hypertension,' I mean chronically high blood pressure that can lead to heart disease and other complications.","Clarification"
"The role of bile is to emulsify fats, which aids in their digestion and absorption in the small intestine.","Clarification"
"The phrase 'feedback inhibition' refers to a regulatory mechanism where the end product of a pathway inhibits an earlier step.","Clarification"
"The primary function of red blood cells is to transport oxygen from the lungs to tissues.","Clarification"
"By 'gene pool,' I mean the total collection of alleles in a population.","Clarification"
"The role of dendrites is to receive signals from other neurons and transmit them to the cell body.","Clarification"
"The phrase 'hormone-receptor interaction' describes the binding of a hormone to its specific receptor to trigger a cellular response.","Clarification"
"When scientists refer to adaptive immunity, they mean the part of the immune system that learns and remembers pathogens for a faster response.","Clarification"
"The concept of 'codominance' refers to a genetic situation where both alleles are fully expressed in the phenotype.","Clarification"
"The term 'lipoprotein' refers to particles that transport lipids, such as cholesterol, in the bloodstream.","Clarification"
"By 'plasmid,' I mean a small, circular piece of DNA found in bacteria that can replicate independently of the chromosome.","Clarification"
"The role of the alveoli is to facilitate gas exchange between the lungs and the blood.","Clarification"
