Sentence,Label
"While exercise can improve heart health, excessive physical activity without adequate rest can lead to injuries and overtraining.",Contrast
"Antibiotics are effective against bacterial infections, whereas antiviral medications are needed to treat viral diseases like the flu.",Contrast
"Smoking increases the risk of lung cancer, but nonsmokers can still develop the disease due to environmental or genetic factors.",Contrast
"Although vaccination has led to the eradication of smallpox, other diseases like malaria continue to pose a significant global health threat.",Contrast
"Some people are naturally predisposed to obesity due to genetic factors, while others may gain weight due to poor dietary habits and lack of exercise.",Contrast
"While fruits are high in vitamins and antioxidants, processed sugars can contribute to chronic diseases such as diabetes and obesity.",Contrast
"High-fat diets can contribute to heart disease, but certain fats, like those found in avocados and nuts, are beneficial for cardiovascular health.",Contrast
"Medication can help manage chronic conditions, but lifestyle changes such as diet and exercise are essential for long-term disease prevention.",Contrast
"Unlike viruses, which require a host cell to reproduce, bacteria are independent organisms that can grow and multiply on their own.",Contrast
"While a balanced diet promotes health, overeating even healthy foods can lead to weight gain and increase the risk of metabolic disorders.",Contrast
"Exercise can strengthen the immune system, but extreme physical stress can weaken immune function and increase susceptibility to illness.",Contrast
"While some individuals may experience side effects from certain medications, others may not have any noticeable reactions.",Contrast
"Genetic testing can provide valuable insights into a person's health risks, but it cannot predict all diseases or prevent them from occurring.",Contrast
"Many vaccines provide immunity against infectious diseases, but some, like the common cold, do not have a vaccine due to the virus's high mutation rate.",Contrast
"Although genetics play a major role in determining height, environmental factors such as nutrition also influence an individual’s final stature.",Contrast
"Physical exercise can help reduce anxiety, whereas chronic stress without intervention can contribute to mental health disorders like depression.",Contrast
"Heart disease is often linked to lifestyle choices like smoking and poor diet, while other conditions, like congenital heart defects, are caused by genetic factors.",Contrast
"While genetic mutations are a known cause of some cancers, exposure to carcinogens like tobacco smoke or ultraviolet radiation can also increase cancer risk.",Contrast
"Some people with high blood pressure may not experience symptoms, while others may suffer from headaches or dizziness as a result of the condition.",Contrast
"Physical activity can promote mental health, but excessive exercise without recovery can lead to burnout and negatively affect emotional well-being.",Contrast
"Although vaccines have reduced the spread of diseases like measles, others, like HIV, continue to lack a successful vaccine despite extensive research.",Contrast
"While certain foods can increase the risk of diabetes, a well-balanced diet that includes fiber and low glycemic index foods can help manage blood sugar levels.",Contrast
"High cholesterol can contribute to cardiovascular diseases, whereas moderate cholesterol intake from foods like eggs does not necessarily increase risk in everyone.",Contrast
"Although early treatment can improve the prognosis of cancer, late-stage cancers are often more difficult to treat and may require more aggressive therapies.",Contrast
