Sentence,Label
"DNA is the molecule that carries the genetic instructions used in the growth, development, functioning, and reproduction of all living organisms.",Definition
"An enzyme is a protein that catalyzes chemical reactions in the body, speeding up the process without being consumed in the reaction.",Definition
"Asthma is a chronic respiratory condition that causes difficulty in breathing due to inflammation and narrowing of the airways.",Definition
"Vaccination is the administration of a vaccine to help the immune system develop protection from a disease.",Definition
"Cholesterol is a waxy, fat-like substance found in every cell of the body and is essential for the production of certain hormones and vitamin D.",Definition
"Alzheimer’s disease is a neurodegenerative disorder characterized by memory loss, confusion, and changes in behavior, often leading to dementia.",Definition
"Diabetes is a chronic condition where the body is unable to properly regulate blood sugar levels, either due to insulin resistance or insufficient insulin production.",Definition
"Metabolism refers to the set of life-sustaining chemical reactions within the cells of organisms that convert food into energy.",Definition
"Photosynthesis is the process by which plants, algae, and some bacteria convert light energy into chemical energy stored in glucose.",Definition
"Immunization is the process by which a person’s immune system becomes fortified against an agent, typically through the administration of a vaccine.",Definition
"Hypertension is a condition where the force of the blood against the walls of the arteries is consistently too high.",Definition
"Anatomy is the branch of biology concerned with the structure of organisms and their parts.",Definition
"Protein synthesis is the process by which cells build proteins, based on the instructions encoded in DNA.",Definition
"Endorphins are hormones produced by the brain and nervous system that act as natural painkillers and mood elevators.",Definition
"Cell division is the process by which a parent cell divides into two or more daughter cells, essential for growth, repair, and reproduction.",Definition
"Immunology is the branch of biomedical science that deals with the study of the immune system and its functions.",Definition
"Hypertension is defined as consistently high blood pressure, which can lead to serious health complications such as heart disease and stroke.",Definition
"A virus is a microscopic infectious agent that can replicate only inside the living cells of a host organism.",Definition
"Chronic obstructive pulmonary disease (COPD) is a progressive lung disease that causes breathing difficulties due to airflow obstruction.",Definition
"An antibody is a protein produced by the immune system to identify and neutralize foreign objects like bacteria, viruses, and toxins.",Definition
"Neurons are specialized cells in the nervous system that transmit electrical impulses, enabling communication between different parts of the body.",Definition
"Homeostasis is the process by which the body maintains a stable internal environment despite changes in external conditions.",Definition
"Genetics is the branch of biology that studies genes, heredity, and genetic variation in organisms.",Definition
"Anatomy is the study of the physical structures of living organisms, while physiology focuses on their functions.",Definition
"Immune response is the reaction of the immune system to foreign substances such as pathogens, toxins, or other harmful agents.",Definition
"Mitosis is a type of cell division that results in two genetically identical daughter cells, each with the same number of chromosomes as the parent cell.",Definition
"Metabolic syndrome is a cluster of conditions, including high blood pressure, high blood sugar, and abnormal cholesterol levels, that increase the risk of heart disease and diabetes.",Definition
"Endocrinology is the branch of medicine that focuses on the diagnosis and treatment of hormone-related disorders.",Definition
"Chlorophyll is the green pigment in plants that absorbs light energy used in photosynthesis.",Definition
"A pathogen is a microorganism, such as a bacterium, virus, or fungus, that can cause disease in its host.",Definition
"Cellular respiration is the process by which cells break down glucose and oxygen to produce energy, carbon dioxide, and water.",Definition
"A mutation is a change in the DNA sequence that can lead to genetic variation and, in some cases, disease.",Definition
"Autophagy is the process by which cells degrade and recycle their own components to maintain cellular function and homeostasis.",Definition
"The central nervous system (CNS) consists of the brain and spinal cord, which control and coordinate bodily functions.",Definition
"Osteoporosis is a condition characterized by weakened bones that are more susceptible to fractures, commonly occurring in older adults.",Definition
"Insulin is a hormone produced by the pancreas that helps regulate blood sugar levels by facilitating the uptake of glucose into cells.",Definition
"Inflammation is the body’s immune response to injury or infection, characterized by redness, swelling, heat, and pain.",Definition
"Chromosomes are thread-like structures made of DNA and protein that carry genetic information in cells.",Definition
"Antioxidants are molecules that protect the body from oxidative stress and free radical damage by neutralizing harmful molecules.",Definition
"Biotechnology is the use of living organisms or biological systems to develop or make products for specific uses.",Definition
"Acid-base balance refers to the regulation of the pH of body fluids to maintain homeostasis and proper cellular function.",Definition
"Atherosclerosis is the buildup of fatty deposits on the walls of arteries, which can lead to heart disease and stroke.",Definition
"Radiology is the medical specialty that uses imaging techniques such as X-rays, CT scans, and MRIs to diagnose and treat diseases.",Definition
"Cystic fibrosis is a genetic disorder that causes thick, sticky mucus to accumulate in the lungs and digestive system, leading to respiratory and digestive issues.",Definition
"Anesthesia is the practice of administering drugs to prevent pain and discomfort during medical procedures, with varying levels of consciousness.",Definition
"Psychiatry is the branch of medicine that deals with the diagnosis, treatment, and prevention of mental health disorders.",Definition
"Vaccines are biological preparations that stimulate the immune system to recognize and fight specific pathogens, preventing future infections.",Definition
"Anemia is a condition in which there is a deficiency in the number or quality of red blood cells, leading to reduced oxygen supply to tissues.",Definition
"Genomics is the study of the complete set of genes and their functions in an organism, including the analysis of genetic variation.",Definition
"Respiration is the process by which organisms exchange gases with their environment to obtain oxygen and eliminate carbon dioxide.",Definition
"Anorexia nervosa is an eating disorder characterized by an intense fear of gaining weight, leading to self-imposed starvation and excessive weight loss.",Definition
"Psychosomatic disorders are conditions where psychological factors contribute to or worsen physical health problems.",Definition
"Acid reflux, or gastroesophageal reflux disease (GERD), occurs when stomach acid flows back into the esophagus, causing heartburn and discomfort.",Definition
"Genetic counseling is a process in which individuals or families are advised about the risks of inherited conditions and the options for testing and treatment.",Definition
"Tumors are abnormal growths of tissue that can be benign (non-cancerous) or malignant (cancerous), and may affect various organs.",Definition
"Immunosuppression is the reduction or inhibition of the immune system's activity, often used to prevent organ transplant rejection or treat autoimmune diseases.",Definition
"Hypertrophy is the increase in the size of an organ or tissue through the enlargement of its cells, often occurring in muscle tissue after exercise.",Definition
"Electrocardiography (ECG) is a medical test that measures the electrical activity of the heart to diagnose heart conditions such as arrhythmias and heart attacks.",Definition
"Plasma is the yellowish, liquid component of blood that carries water, proteins, hormones, and waste products.",Definition
"Thrombosis is the formation of a blood clot inside a blood vessel, which can obstruct blood flow and lead to conditions like deep vein thrombosis or stroke.",Definition
"Neuroplasticity is the ability of the brain to reorganize and form new neural connections throughout life, allowing adaptation to changes and recovery from injury.",Definition
"Mitophagy is the process by which damaged mitochondria are selectively removed by the cell to maintain mitochondrial health and function.",Definition
"Endocytosis is a cellular process in which cells engulf external substances, such as nutrients or pathogens, by wrapping the cell membrane around them.",Definition
"Phagocytosis is the process by which certain cells, known as phagocytes, engulf and digest foreign particles, such as bacteria and dead cells.",Definition
"Cellular apoptosis is a form of programmed cell death in which cells undergo a controlled and regulated process to eliminate damaged or unnecessary cells.",Definition
"Anaphylaxis is a severe, life-threatening allergic reaction that can cause symptoms such as swelling, difficulty breathing, and low blood pressure.",Definition
"Anorexia nervosa is a psychological eating disorder characterized by an intense fear of gaining weight and a distorted body image, often leading to severe malnutrition.",Definition
"Proteins are large, complex molecules made up of amino acids and are essential for the structure, function, and regulation of the body’s cells, tissues, and organs.",Definition
"Leukemia is a type of cancer that affects the blood and bone marrow, leading to an overproduction of abnormal white blood cells.",Definition
"Pharmacology is the study of drugs and their effects on the body, including their mechanisms of action, therapeutic uses, and potential side effects.",Definition
"Cardiovascular disease refers to a group of conditions that affect the heart and blood vessels, including coronary artery disease, heart failure, and arrhythmias.",Definition
"Hypertrophic cardiomyopathy is a genetic condition in which the heart muscle becomes abnormally thick, potentially leading to heart failure and sudden cardiac death.",Definition
"Spina bifida is a birth defect in which the spinal cord and vertebrae do not form properly, often resulting in physical and neurological disabilities.",Definition
"Immunodeficiency is a condition in which the immune system’s ability to fight infections is impaired, making the body more susceptible to illnesses.",Definition
"Amyotrophic lateral sclerosis (ALS) is a progressive neurodegenerative disease that affects nerve cells in the brain and spinal cord, leading to muscle weakness and paralysis.",Definition
"Systemic lupus erythematosus is a chronic autoimmune disease in which the body’s immune system attacks healthy tissues, leading to inflammation and damage to various organs.",Definition
"Autonomic nervous system is the part of the nervous system that controls involuntary functions, such as heart rate, digestion, and respiratory rate.",Definition
"Microbiome refers to the community of microorganisms, including bacteria, fungi, and viruses, that live in and on the human body and play a critical role in health.",Definition
"Biochemistry is the branch of science that explores the chemical processes within and related to living organisms, providing insight into cellular functions and metabolism.",Definition
"Gene expression is the process by which information from a gene is used to synthesize a functional gene product, often a protein, to carry out cellular functions.",Definition
"Insulin resistance occurs when the body’s cells become less responsive to insulin, leading to higher blood sugar levels and potentially to type 2 diabetes.",Definition
"Angina pectoris is chest pain or discomfort caused by reduced blood flow to the heart muscle, often a symptom of coronary artery disease.",Definition
"Astigmatism is a refractive error in the eye where the cornea or lens has an irregular shape, causing blurred or distorted vision.",Definition
"Prokaryotes are single-celled organisms that lack a defined nucleus and membrane-bound organelles, including bacteria and archaea.",Definition
"Eukaryotes are organisms whose cells contain a defined nucleus and membrane-bound organelles, including plants, animals, fungi, and protists.",Definition
"Osmosis is the movement of water molecules from an area of low solute concentration to an area of high solute concentration through a semipermeable membrane.",Definition
"Endocrine glands are specialized organs that release hormones into the bloodstream to regulate various physiological processes, such as metabolism and growth.",Definition
"Molecular biology is the branch of biology that deals with the study of the molecular basis of biological activity, particularly the interaction of DNA, RNA, and proteins.",Definition
"Pluripotent stem cells are cells that have the ability to differentiate into almost any type of cell in the body, making them important for regenerative medicine.",Definition
"Hemoglobin is a protein found in red blood cells that binds to oxygen in the lungs and transports it through the bloodstream to tissues and organs.",Definition
"Autosomal dominant inheritance is a pattern of inheritance in which only one copy of an altered gene is necessary to express a genetic disorder.",Definition
"Pathophysiology is the study of the disordered physiological processes that occur due to disease or injury, helping to understand the mechanisms of illness.",Definition
"Biopsy is the removal of a small sample of tissue from a living organism for examination under a microscope to diagnose diseases, including cancer.",Definition
"Therapeutic cloning is a type of cloning used to create embryonic stem cells that can be used for medical treatments, such as regenerating damaged tissues.",Definition
"Antigen is any substance that triggers an immune response, typically by being recognized by the body’s immune system as foreign or harmful.",Definition
"Chronic pain is long-lasting pain that persists beyond the usual course of acute illness or injury, often lasting for months or even years.",Definition
"Fibrosis is the thickening and scarring of connective tissue, often as a result of injury or chronic inflammation, which can impair organ function.",Definition
"Oxidative stress is a condition in which there is an imbalance between free radicals and antioxidants in the body, contributing to aging and various diseases.",Definition
"Sickle cell anemia is a genetic blood disorder where the red blood cells become rigid and shaped like a crescent, causing blockages in blood flow and pain.",Definition
"Microtubules are structural components of the cytoskeleton in eukaryotic cells that help maintain cell shape, facilitate cell division, and transport materials.",Definition
"Pharmacokinetics is the study of the absorption, distribution, metabolism, and excretion of drugs in the body, helping to understand their effectiveness and side effects.",Definition
"Fibromyalgia is a chronic condition characterized by widespread musculoskeletal pain, fatigue, and tenderness in localized areas of the body.",Definition
"Atherosclerosis is a condition where the blood vessels become narrowed and hardened due to a buildup of plaque, increasing the risk of heart attacks and strokes.",Definition
"Antibiotic resistance is the ability of bacteria to resist the effects of drugs that once killed them or inhibited their growth, making infections harder to treat.",Definition
"Viral load is the amount of virus present in a person's blood, which can be an indicator of the severity of a viral infection such as HIV or hepatitis.",Definition
"Recombinant DNA technology is a set of techniques used to modify an organism's genetic material by adding, removing, or altering specific genes.",Definition
"Immunohistochemistry is a laboratory technique used to detect specific antigens in cells or tissues by using labeled antibodies, often used in cancer diagnosis.",Definition
"Sepsis is a life-threatening condition caused by an infection that spreads throughout the body, leading to widespread inflammation and organ dysfunction.",Definition
"Genetic engineering involves manipulating an organism's DNA to achieve desired traits, such as creating genetically modified organisms (GMOs) for agriculture or medicine.",Definition
"Atrial fibrillation is a heart rhythm disorder characterized by an irregular and often rapid heart rate, which can lead to stroke and other complications.",Definition
"Bioluminescence is the production and emission of light by living organisms, such as fireflies or certain types of fungi and marine animals.",Definition
"Pulmonary hypertension is high blood pressure in the arteries of the lungs, which can lead to heart failure if left untreated.",Definition
"Autism spectrum disorder is a developmental disorder characterized by difficulties with social communication, repetitive behaviors, and restricted interests.",Definition
"Insulin secretion is the process by which the pancreas releases insulin into the bloodstream to regulate blood glucose levels after eating.",Definition
"Probiotics are live microorganisms that, when consumed in adequate amounts, provide health benefits, particularly for gut health and the immune system.",Definition
"Platelets are small cell fragments in the blood that play a crucial role in clotting and wound healing by helping to form blood clots and stop bleeding.",Definition
"Gene therapy is a medical treatment that involves modifying or replacing defective genes to treat or prevent diseases caused by genetic mutations.",Definition
"RNA interference is a biological process in which RNA molecules inhibit gene expression by neutralizing targeted mRNA molecules.",Definition
