Sentence,Label
"Mitosis is the process by which a single cell divides to produce two genetically identical daughter cells.",Summary
"Osmosis is the movement of water across a semi-permeable membrane from an area of lower solute concentration to an area of higher solute concentration.",Summary
"DNA replication occurs during the S phase of the cell cycle, ensuring that each new cell receives an identical copy of the genetic material.",Summary
"Photosynthesis is the process by which plants convert light energy into chemical energy, stored as glucose.",Summary
"The human genome consists of approximately 20,000 genes that provide the instructions for producing proteins.",Summary
"Antibodies are proteins produced by the immune system to neutralize pathogens such as bacteria and viruses.",Summary
"Cancer is a group of diseases characterized by the uncontrolled growth and spread of abnormal cells in the body.",Summary
"The process of transcription involves the synthesis of RNA from a DNA template in the nucleus of a cell.",Summary
"The heart is divided into four chambers: two atria and two ventricles, which work together to pump blood throughout the body.",Summary
"Hormones are chemical messengers that are secreted by glands and travel through the bloodstream to target cells.",Summary
"The process of translation occurs in the ribosome, where mRNA is decoded to synthesize proteins.",Summary
"The Krebs cycle, also known as the citric acid cycle, is a series of chemical reactions that produce energy in the form of ATP.",Summary
"Antibiotics are drugs that kill or inhibit the growth of bacteria, but they are ineffective against viruses.",Summary
"The immune system consists of two main branches: the innate immune system and the adaptive immune system.",Summary
"Gene expression is the process by which the information in a gene is used to synthesize a functional product, such as a protein.",Summary
"The nervous system is composed of the central nervous system (CNS) and the peripheral nervous system (PNS), which coordinate bodily functions.",Summary
"Enzymes are proteins that act as catalysts in biochemical reactions, speeding up the rate at which reactions occur.",Summary
"The process of meiosis results in the formation of gametes, which are sperm and eggs in animals.",Summary
"The circulatory system is responsible for the transportation of blood, oxygen, nutrients, and waste products throughout the body.",Summary
"The process of fertilization occurs when a sperm cell fuses with an egg cell, resulting in the formation of a zygote.",Summary
"The process of apoptosis is a form of programmed cell death that plays a crucial role in development and tissue homeostasis.",Summary
"The process of glycolysis occurs in the cytoplasm of cells and is the first step in the breakdown of glucose for energy.",Summary
"The process of protein synthesis involves the transcription of DNA into mRNA and the translation of mRNA into a protein.",Summary
"The process of cytokinesis follows mitosis and involves the division of the cytoplasm to form two separate daughter cells.",Summary
"The process of gene regulation controls when and how genes are turned on or off, affecting gene expression.",Summary
"The process of osmoregulation is the maintenance of the balance of water and solutes in the body.",Summary
"The process of phagocytosis is a type of endocytosis in which immune cells engulf and destroy pathogens.",Summary
"The process of chemotaxis is the movement of cells in response to a chemical stimulus.",Summary
"The process of exocytosis is the secretion of substances from the cell by the fusion of vesicles with the plasma membrane.",Summary
"The process of endocytosis is the uptake of substances into the cell by the formation of vesicles from the plasma membrane.",Summary
"The process of signal transduction involves the transmission of signals from the cell surface to the interior of the cell.",Summary
"The process of DNA repair mechanisms correct errors in the DNA sequence to maintain genomic integrity.",Summary
"The process of synaptic transmission involves the release of neurotransmitters from the presynaptic neuron to the postsynaptic neuron.",Summary
"The process of muscle contraction is regulated by the sliding filament model, involving actin and myosin filaments.",Summary
"The process of hormone regulation involves feedback mechanisms to maintain homeostasis in the body.",Summary
