Topic,Prompt
Regulation_BP,"Write a detailed explanation of how blood pressure is regulated in the human body, focusing on the interplay between baroreceptors, the renin-angiotensin-aldosterone system, and the nervous system."
Cardiac_Cycle,"Describe the cardiac cycle in detail, including the dependency between electrical conduction, mechanical contraction, and cardiac output."
Blood_Flow_Distribution,"Explain how blood flow is distributed throughout the body, emphasizing the role of arterioles, local metabolic control, and systemic hormonal control."
Exercise_Heart_Rate,"Discuss the effects of exercise on heart rate and stroke volume, highlighting the roles of sympathetic activation, venous return, and muscle oxygen demand."
Gas_Exchange,"Describe the process of gas exchange in the lungs, focusing on partial pressure gradients, diffusion, and hemoglobin saturation."
Control_Breathing,"Explain how breathing is controlled, with an emphasis on the roles of CO₂ levels, chemoreceptors, and neural regulation."
VQ_Matching,"Write about ventilation-perfusion matching in the lungs, and describe what happens when air and blood flow are mismatched."
Acid_Base_Resp,"Discuss the role of the respiratory system in acid-base balance, focusing on respiratory compensation in metabolic acidosis or alkalosis."
Regulation_Osmolarity,"Describe how blood osmolarity is regulated, focusing on the interaction between ADH, aldosterone, and water reabsorption."
Renal_Function,"Explain the processes of filtration, reabsorption, and secretion in the nephron, and how they contribute to fluid balance."
Acid_Base_Renal,"Discuss how the kidneys regulate acid-base homeostasis by excreting hydrogen ions and reabsorbing bicarbonate."
Dehydration_Renal,"Describe the effects of dehydration on renal function, emphasizing changes in GFR and urine concentration."
Glucose_Regulation,"Explain the regulation of blood glucose levels, focusing on the hormonal interplay between insulin, glucagon, and stress hormones."
Thyroid_Hormones,"Discuss the systemic effects of thyroid hormones and the feedback loops that regulate their levels."
Stress_Response,"Explain the physiological stress response, focusing on the roles of adrenal hormones like cortisol and adrenaline."
Calcium_Homeostasis,"Describe how calcium homeostasis is maintained, emphasizing the roles of PTH, vitamin D, and bone resorption."
Muscle_Contraction,"Write about neural control of muscle contraction, focusing on the dependency between action potentials, neurotransmitters, and motor units."
Reflex_Arcs,"Explain the structure and significance of reflex arcs in the nervous system."
ANS_Regulation,"Describe how the autonomic nervous system regulates organ function, emphasizing the effects of sympathetic and parasympathetic systems."
